Date/Time,LV ActivePower (kW),Wind Speed (m/s),Theoretical_Power_Curve (KWh),Wind Direction (°)
01 01 2018 11:30,142.2024994,4.038761139,130.2299896,224.4649963
01 01 2018 11:40,212.5661926,4.505650997,223.1967841,224.9505005
01 01 2018 11:50,222.6100006,4.543397903,231.2425073,229.127594
01 01 2018 12:00,194.1811981,4.323760986,185.5984796,227.0399933
01 01 2018 12:10,82.64074707,3.634437084,68.5028198,230.3146057
01 01 2018 12:20,75.8952179,3.705512047,78.39616535,233.9532928
01 01 2018 12:30,41.94723892,3.253968,29.28695563,233.0659027
01 01 2018 12:40,118.5345993,3.775136948,88.87136533,227.7534943
01 01 2018 12:50,250.7559052,4.693500996,264.1192574,229.8966064
01 01 2018 13:00,346.8644104,5.002939224,336.7219982,235.2794952
01 01 2018 13:10,416.4179077,5.364749908,430.921089,235.5852966
01 01 2018 13:20,331.9414978,5.016181946,339.9849402,229.9429016
01 01 2018 13:30,583.4799194,5.970407963,615.0556308,235.6952972
01 01 2018 13:40,776.5526733,6.655520916,868.1808449,241.4573975
01 01 2018 13:50,752.7263794,6.600903988,846.0294095,242.7821045
01 01 2018 14:00,589.0731201,5.981378078,618.7314427,234.9844055
01 01 2018 14:10,1109.128052,7.424593925,1219.199787,235.1472931
01 01 2018 14:20,1482.459961,8.186451912,1638.508909,238.4790955
01 01 2018 14:30,1523.430054,8.27493,1691.147039,237.0332031
01 01 2018 14:40,1572.170044,8.449202538,1796.76309,238.3323975
01 01 2018 14:50,1698.939941,8.575974464,1875.047197,235.6414032
01 01 2018 15:00,1616.845947,8.282259941,1695.538777,236.4613953
01 01 2018 15:10,1796.823975,8.734552383,1974.4758,234.3547974
01 01 2018 15:20,1885.860962,8.764103889,1993.170712,231.0016022
01 01 2018 15:30,2327.511963,9.669431686,2568.827129,227.6000977
01 01 2018 15:40,2499.162109,10.14109039,2876.753616,227.7315979
01 01 2018 15:50,2820.512939,10.77241993,3186.029883,225.2763977
01 01 2018 16:00,2812.279053,10.64752007,3133.259224,224.680603
01 01 2018 16:10,2530.447021,9.982661247,2781.274041,225.5195007
01 01 2018 16:20,2399.121094,9.874385834,2711.492458,227.2738037
01 01 2018 16:30,2335.587891,9.785479546,2651.341009,229.2554932
01 01 2018 16:40,2341.133057,9.614232063,2527.945451,230.7368927
01 01 2018 16:50,2391.8479,9.618504524,2531.14794,229.490799
01 01 2018 17:00,2118.389893,9.098683357,2207.79282,223.960907
01 01 2018 17:10,1866.845947,8.677425385,1938.478601,219.7937012
01 01 2018 17:20,1865.619019,8.774898529,2000.011716,219.0449066
01 01 2018 17:30,1862.447998,8.689981461,1946.373955,215.3352051
01 01 2018 17:40,1884.119019,8.631073952,1909.416256,216.2799988
01 01 2018 17:50,1855.776978,8.614569664,1899.100734,214.5290985
01 01 2018 18:00,1958.133057,9.21884346,2285.917032,212.1799011
01 01 2018 18:10,2228.24292,10.04951954,2822.50949,210.3085938
01 01 2018 18:20,2529.291016,10.31871033,2974.866796,210.5881042
01 01 2018 18:30,2788.25708,10.76675987,3183.72246,207.4813995
01 01 2018 18:40,2692.929932,10.55825043,3093.110672,208.5518951
01 01 2018 18:50,2535.353027,10.25072002,2938.394607,208.0106964
01 01 2018 19:00,2584.665039,10.46477032,3048.823833,205.7528992
01 01 2018 19:10,2960.183105,11.39078045,3393.645541,200.6542969
01 01 2018 19:20,3062.978027,11.56554031,3437.597135,198.1242981
01 01 2018 19:30,3024.39209,11.2802496,3362.668742,198.5381927
01 01 2018 19:40,3187.9729,11.33677959,3378.826271,200.4904022
01 01 2018 19:50,3387.228027,11.80463982,3488.248491,199.2469025
01 01 2018 20:00,3209.018066,11.3635397,3386.244486,199.8054962
01 01 2018 20:10,3272.665039,11.63259029,3452.881108,198.2677002
01 01 2018 20:20,3209.698975,11.44476032,3407.867876,195.6320038
01 01 2018 20:30,3134.518066,11.27190018,3360.225775,196.6611023
01 01 2018 20:40,2977.824951,11.05900955,3292.880925,196.5158997
01 01 2018 20:50,3431.772949,12.10377979,3537.173706,198.2570038
01 01 2018 21:00,3604.209961,12.92813969,3597.469467,201.5825958
01 01 2018 21:10,3601.327881,13.31941986,3600,201.9421997
01 01 2018 21:20,3604.426025,13.12152004,3600,203.5077972
01 01 2018 21:30,3604.391113,13.23544979,3600,202.6929932
01 01 2018 21:40,3604.337891,13.23589993,3600,202.9362946
01 01 2018 21:50,3554.687988,13.02956009,3600,201.2539063
01 01 2018 22:00,3479.407959,12.96393967,3597.794635,201.3408966
01 01 2018 22:10,3472.333008,12.90295029,3597.13106,200.9795074
01 01 2018 22:20,3491.510986,12.76634026,3593.704942,200.9960022
01 01 2018 22:30,3536.989014,12.89834976,3597.059449,200.5142059
01 01 2018 22:40,3528.658936,12.74211025,3592.814313,202.8952942
01 01 2018 22:50,3581.540039,12.31826019,3562.990095,202.841095
01 01 2018 23:00,3570.079102,12.41880989,3572.556143,202.4118042
01 01 2018 23:10,3597.604004,12.54298973,3582.204643,201.6253052
01 01 2018 23:20,3441.025879,12.67599964,3589.945634,199.3220978
01 01 2018 23:30,3373.969971,13.00304985,3600,197.1307068
01 01 2018 23:40,3369.812988,13.29767036,3600,196.4936066
01 01 2018 23:50,3375.903076,12.84405994,3595.984792,195.3150024
